0,47,13,47,30,55,48,30,24,27,65,35,34,34,67,19,63,6,27,55
47,0,27,45,34,5,44,44,47,27,37,51,63,8,11,47,55,70,13,29
13,27,0,49,29,61,24,13,49,18,62,54,32,5,14,23,62,44,26,23
47,45,49,0,33,64,66,38,46,52,6,42,8,32,35,6,9,65,40,29
30,34,29,33,0,29,14,14,28,27,56,37,35,13,63,49,60,48,69,69
55,5,61,64,29,0,21,46,53,37,61,17,13,5,15,40,38,30,25,5
48,44,24,66,14,21,0,58,47,34,21,58,59,61,35,69,60,10,20,58
30,44,13,38,14,46,58,0,31,35,67,68,55,42,65,37,15,26,24,41
24,47,49,46,28,53,47,31,0,9,9,16,67,58,51,69,70,70,14,68
27,27,18,52,27,37,34,35,9,0,40,9,25,64,60,5,47,58,21,9
65,37,62,6,56,61,21,67,9,40,0,22,11,36,32,30,63,32,23,8
35,51,54,42,37,17,58,68,16,9,22,0,19,20,6,51,5,45,31,21
34,63,32,8,35,13,59,55,67,25,11,19,0,48,26,11,40,15,63,48
34,8,5,32,13,5,61,42,58,64,36,20,48,0,60,55,58,46,51,50
67,11,14,35,63,15,35,65,51,60,32,6,26,60,0,26,40,62,8,38
19,47,23,6,49,40,69,37,69,5,30,51,11,55,26,0,33,64,46,69
63,55,62,9,60,38,60,15,70,47,63,5,40,58,40,33,0,43,60,35
6,70,44,65,48,30,10,26,70,58,32,45,15,46,62,64,43,0,40,16
27,13,26,40,69,25,20,24,14,21,23,31,63,51,8,46,60,40,0,46
55,29,23,29,69,5,58,41,68,9,8,21,48,50,38,69,35,16,46,0
