31,31,31
29,28,28
35,36,36
32,32,32
29,30,30
25,25,25
35,35,35
39,39,39
28,29,29
37,37,37
28,29,29
30,31,31
37,38,38
35,35,35
38,38,38
30,31,31
28,28,28
27,28,28
30,31,31
33,34,34
34,35,35
33,34,34
36,37,37
35,34,34
33,33,33
26,25,25
30,30,30
27,28,28
40,39,39
28,27,27
32,31,31
36,35,35
33,32,32
36,36,36
35,36,36
31,31,31
28,28,28
27,26,26
33,34,34
30,30,30
35,35,35
35,36,36
34,33,33
31,32,32
33,33,33
31,31,31
31,31,31
34,34,34
27,26,26
27,26,26
32,31,31
40,40,40
31,31,31
33,32,32
32,31,31
30,30,30
30,29,29
24,24,24
36,35,35
37,38,38
33,32,32
35,36,36
33,32,32
36,36,36
34,34,34
31,32,32
31,31,31
30,30,30
31,31,31
37,36,36
30,31,31
33,33,33
21,21,21
30,31,31
33,34,34
32,32,32
30,31,31
29,29,29
31,30,30
31,31,31
33,33,33
29,28,28
32,33,33
32,31,31
27,28,28
31,32,32
34,34,34
29,29,29
31,32,32
31,32,32
30,31,31
30,30,30
28,29,29
32,32,32
37,36,36
32,33,33
33,32,32
31,32,32
30,29,29
32,31,31
