80,81,81
74,74,74
74,73,73
82,83,83
90,89,89
85,85,85
76,77,77
78,78,78
74,74,74
88,87,87
78,77,77
86,86,86
93,92,92
84,85,85
83,84,84
77,76,76
81,81,81
90,90,90
96,95,95
80,79,79
85,84,84
85,84,84
82,81,81
80,80,80
76,76,76
77,78,78
75,75,75
86,85,85
82,82,82
88,87,87
78,79,79
75,76,76
88,89,89
78,77,77
81,80,80
95,95,95
79,80,80
85,84,84
80,81,81
80,81,81
86,87,87
86,86,86
83,83,83
77,76,76
79,79,79
81,81,81
90,89,89
75,75,75
65,64,64
67,67,67
83,83,83
95,95,95
84,84,84
80,80,80
90,89,89
81,80,80
82,82,82
87,86,86
84,85,85
83,82,82
79,80,80
100,99,99
88,87,87
77,76,76
79,79,79
90,89,89
76,75,75
87,86,86
77,78,78
78,79,79
77,78,78
83,83,83
80,79,79
74,74,74
84,84,84
86,85,85
77,76,76
77,76,76
85,85,85
82,82,82
72,72,72
70,70,70
79,80,80
87,88,88
73,74,74
82,82,82
72,71,71
80,80,80
82,82,82
95,95,95
78,78,78
89,88,88
85,85,85
77,76,76
83,84,84
85,85,85
79,79,79
93,93,93
83,82,82
87,87,87
